Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly BioSample Accession	CheckM completeness	CheckM contamination
GCA_001922105.1	ASM192210v1	Xanthomonas citri pv. citri		LH201					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-27		3							PacBio	SAMN05823148	98.6	1.43
GCF_001922105.1	ASM192210v1	Xanthomonas citri pv. citri		LH201					GCF_001922105.1-RS_2024_05_05	Complete Genome	2016-12-27		3							PacBio	SAMN05823148	98.6	1.43
GCA_002952295.1	ASM295229v1	Xanthomonas citri pv. citri		03-1638-1-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-06		3							PacBio	SAMN07611881	98.68	1.43
GCF_002952295.1	ASM295229v1	Xanthomonas citri pv. citri		03-1638-1-1					GCF_002952295.1-RS_2024_05_05	Complete Genome	2018-02-06		3							PacBio	SAMN07611881	98.68	1.43
GCA_001922085.1	ASM192208v1	Xanthomonas citri pv. citri		LJ207-7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-27		4							PacBio	SAMN05823144	98.6	1.51
GCF_001922085.1	ASM192208v1	Xanthomonas citri pv. citri		LJ207-7					GCF_001922085.1-RS_2024_05_05	Complete Genome	2016-12-27		4							PacBio	SAMN05823144	98.6	1.51
GCA_023205075.1	ASM2320507v1	Xanthomonas citri pv. citri		CQ13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-02		3							Illumina NovaSeq; Oxford Nanopore	SAMN27753378	99.23	0.37
GCF_023205075.1	ASM2320507v1	Xanthomonas citri pv. citri		CQ13					GCF_023205075.1-RS_2024_05_12	Complete Genome	2022-05-02		3							Illumina NovaSeq; Oxford Nanopore	SAMN27753378	99.23	0.37
GCA_003665475.1	ASM366547v1	Xanthomonas citri pv. citri		Xcc29-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-10-17		4							Illumina HiSeq4000	SAMN07665076	98.86	0.45
GCF_003665475.1	ASM366547v1	Xanthomonas citri pv. citri		Xcc29-1					GCF_003665475.1-RS_2024_05_06	Complete Genome	2018-10-17		4							Illumina HiSeq4000	SAMN07665076	98.86	0.45
GCA_000961335.1	ASM96133v1	Xanthomonas citri pv. citri		gd3					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911835	99.09	0.37
GCF_000961335.1	ASM96133v1	Xanthomonas citri pv. citri		GD3					GCF_000961335.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911835	99.09	0.37
GCA_000961355.1	ASM96135v1	Xanthomonas citri pv. citri		gd2					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911834	99.09	0.37
GCF_000961355.1	ASM96135v1	Xanthomonas citri pv. citri		GD2					GCF_000961355.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911834	99.09	0.37
GCA_003665455.1	ASM366545v1	Xanthomonas citri pv. citri		Xcc49					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-10-17		3							Illumina HiSeq4000	SAMN07638001	98.86	0.37
GCF_003665455.1	ASM366545v1	Xanthomonas citri pv. citri		Xcc49					GCF_003665455.1-RS_2024_05_06	Complete Genome	2018-10-17		3							Illumina HiSeq4000	SAMN07638001	98.86	0.37
GCA_000961255.1	ASM96125v1	Xanthomonas citri pv. citri		MN10					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911841	98.95	0.37
GCF_000961255.1	ASM96125v1	Xanthomonas citri pv. citri		MN10					GCF_000961255.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911841	98.95	0.37
GCA_000961295.1	ASM96129v1	Xanthomonas citri pv. citri		jx5					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911837	99.1	0.37
GCF_000961295.1	ASM96129v1	Xanthomonas citri pv. citri		JX5					GCF_000961295.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911837	99.1	0.37
GCA_000961315.1	ASM96131v1	Xanthomonas citri pv. citri		jx4					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911836	99.48	0.37
GCF_000961315.1	ASM96131v1	Xanthomonas citri pv. citri		JX4					GCF_000961315.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911836	99.48	0.37
GCA_001028285.3	ASM102828v3	Xanthomonas citri pv. citri		jx-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-03-25		3							Illumina Miseq	SAMN03765509	98.71	0.37
GCF_001028285.3	ASM102828v3	Xanthomonas citri pv. citri		jx-6					GCF_001028285.3-RS_2024_05_05	Complete Genome	2016-03-25		3							Illumina Miseq	SAMN03765509	98.71	0.37
GCA_000961155.1	ASM96115v1	Xanthomonas citri pv. citri		UI7					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911839	99.19	0.37
GCF_000961155.1	ASM96115v1	Xanthomonas citri pv. citri		UI7					GCF_000961155.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911839	99.19	0.37
GCA_000961235.1	ASM96123v1	Xanthomonas citri pv. citri		MN11					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911842	98.95	0.37
GCF_000961235.1	ASM96123v1	Xanthomonas citri pv. citri		MN11					GCF_000961235.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911842	98.95	0.37
GCA_019434315.1	ASM1943431v1	Xanthomonas citri pv. citri		B2					Annotation submitted by Academia Sinica	Complete Genome	2021-08-02		3							Oxford Nanopore;Illumina	SAMN15461540	99.35	0.37
GCF_019434315.1	ASM1943431v1	Xanthomonas citri pv. citri		B2					GCF_019434315.1-RS_2024_05_06	Complete Genome	2021-08-02		3							Oxford Nanopore;Illumina	SAMN15461540	99.35	0.37
GCA_017723895.1	ASM1772389v1	Xanthomonas citri pv. glycines		CFBP7119					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-03		3							PacBio RSII; Illumina HiSeq	SAMN18397182	99.6	0.83
GCF_017723895.1	ASM1772389v1	Xanthomonas citri pv. glycines		CFBP7119					GCF_017723895.1-RS_2024_05_12	Complete Genome	2021-04-03		3							PacBio RSII; Illumina HiSeq	SAMN18397182	99.6	0.83
GCA_030582195.1	ASM3058219v1	Xanthomonas citri pv. glycines		T8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-08-02		2							PacBio HIFI	SAMN28868089	99.6	0.46
GCF_030582195.1	ASM3058219v1	Xanthomonas citri pv. glycines		T8					GCF_030582195.1-RS_2024_05_12	Complete Genome	2023-08-02		2							PacBio HIFI	SAMN28868089	99.6	0.46
GCA_007567665.1	ASM756766v1	Xanthomonas citri pv. glycines		8ra					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-29		2							PacBio RSII	SAMN12340633	99.35	0.71
GCF_007567665.1	ASM756766v1	Xanthomonas citri pv. glycines		8ra					GCF_007567665.1-RS_2024_05_06	Complete Genome	2019-07-29		2							PacBio RSII	SAMN12340633	99.35	0.71
GCA_008593565.1	ASM859356v1	Xanthomonas citri pv. glycines		EB08					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-19		3							PacBio	SAMN08391414	99.6	0.74
GCF_008593565.1	ASM859356v1	Xanthomonas citri pv. glycines		EB08					GCF_008593565.1-RS_2024_05_06	Complete Genome	2019-09-19		3							PacBio	SAMN08391414	99.6	0.74
GCA_007724385.1	ASM772438v1	Xanthomonas citri pv. glycines		K2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-31		2							PacBio RSII	SAMN12340803	99.02	0.71
GCF_007724385.1	ASM772438v1	Xanthomonas citri pv. glycines		K2					GCF_007724385.1-RS_2024_05_06	Complete Genome	2019-07-31		2							PacBio RSII	SAMN12340803	99.02	0.71
GCA_007724025.1	ASM772402v1	Xanthomonas citri pv. glycines		1157					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-31		2							PacBio RSII	SAMN12340780	99.6	0.77
GCF_007724025.1	ASM772402v1	Xanthomonas citri pv. glycines		1157					GCF_007724025.1-RS_2024_05_06	Complete Genome	2019-07-31		2							PacBio RSII	SAMN12340780	99.6	0.77
GCA_030582375.1	ASM3058237v1	Xanthomonas citri pv. glycines		B1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-08-02		2							PacBio HIFI	SAMN29964876	99.6	0.46
GCF_030582375.1	ASM3058237v1	Xanthomonas citri pv. glycines		B1					GCF_030582375.1-RS_2024_05_12	Complete Genome	2023-08-02		2							PacBio HIFI	SAMN29964876	99.6	0.46
GCA_007723825.1	ASM772382v1	Xanthomonas citri pv. glycines		1018					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-31		2							PacBio RSII	SAMN12340735	99.6	0.46
GCF_007723825.1	ASM772382v1	Xanthomonas citri pv. glycines		1018					GCF_007723825.1-RS_2024_05_06	Complete Genome	2019-07-31		2							PacBio RSII	SAMN12340735	99.6	0.46
GCA_027186325.1	ASM2718632v1	Xanthomonas citri pv. malvacearum		CFBP 2036					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-21		3							Oxford Nanopore GridION	SAMN23345446	97.39	0.5
GCF_027186325.1	ASM2718632v1	Xanthomonas citri pv. malvacearum		CFBP 2036					GCF_027186325.1-RS_2024_05_12	Complete Genome	2022-12-21		3							Oxford Nanopore GridION	SAMN23345446	97.39	0.5
GCA_002288565.1	ASM228856v1	Xanthomonas citri pv. malvacearum		AR81009					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-09-08		4							PacBio	SAMN07447516	98.97	0.5
GCF_002288565.1	ASM228856v1	Xanthomonas citri pv. malvacearum		AR81009					GCF_002288565.1-RS_2024_05_05	Complete Genome	2017-09-08		4							PacBio	SAMN07447516	98.97	0.5
GCA_018831345.1	ASM1883134v1	Xanthomonas citri		T21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-10		2							PacBio	SAMN08374169	99.44	0.75
GCF_018831345.1	ASM1883134v1	Xanthomonas citri		T21					GCF_018831345.1-RS_2024_05_12	Complete Genome	2021-06-10		2							PacBio	SAMN08374169	99.44	0.75
GCA_009671025.1	ASM967102v1	Xanthomonas citri pv. malvacearum		HD-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-19		3							PacBio Sequel	SAMN13193097	98.35	0.37
GCF_009671025.1	ASM967102v1	Xanthomonas citri pv. malvacearum		HD-1					GCF_009671025.1-RS_2024_05_06	Complete Genome	2019-11-19		3							PacBio Sequel	SAMN13193097	98.35	0.37
GCA_040202935.2	ASM4020293v2	Xanthomonas citri pv. malvacearum		WHRI 10262					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-09-10		3							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354537	99.26	0.5
GCF_040202935.2	ASM4020293v2	Xanthomonas citri pv. malvacearum		WHRI 10262					GCF_040202935.2-RS_2024_09_11	Complete Genome	2024-09-12		3							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354537	99.26	0.5
GCA_027186285.1	ASM2718628v1	Xanthomonas citri pv. malvacearum		CFBP 2530					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-21		3							Oxford Nanopore GridION	SAMN22082069	97.44	0.37
GCF_027186285.1	ASM2718628v1	Xanthomonas citri pv. malvacearum		CFBP 2530					GCF_027186285.1-RS_2024_05_06	Complete Genome	2022-12-21		3							Oxford Nanopore GridION	SAMN22082069	97.44	0.37
GCA_002224545.1	ASM222454v1	Xanthomonas citri pv. malvacearum		XcmN1003					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-24		2							Pacific Biosciences	SAMN04166615	98.81	0.5
GCF_002224545.1	ASM222454v1	Xanthomonas citri pv. malvacearum		XcmN1003					GCF_002224545.1-RS_2024_05_05	Complete Genome	2017-07-24		2							Pacific Biosciences	SAMN04166615	98.81	0.5
GCA_002224525.1	ASM222452v1	Xanthomonas citri pv. malvacearum		XcmH1005					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-24		2							Pacific Biosciences	SAMN04166563	98.23	0.37
GCF_002224525.1	ASM222452v1	Xanthomonas citri pv. malvacearum		XcmH1005					GCF_002224525.1-RS_2024_05_05	Complete Genome	2017-07-24		2							Pacific Biosciences	SAMN04166563	98.23	0.37
GCA_019434355.1	ASM1943435v1	Xanthomonas citri		T4					Annotation submitted by Academia Sinica	Complete Genome	2021-08-02		3							Oxford Nanopore;Illumina	SAMN15461539	98.98	1.87
GCF_019434355.1	ASM1943435v1	Xanthomonas citri		T4					GCF_019434355.1-RS_2024_05_12	Complete Genome	2021-08-02		3							Oxford Nanopore;Illumina	SAMN15461539	98.98	1.87
GCA_027186305.1	ASM2718630v1	Xanthomonas citri pv. malvacearum		CFBP 2012					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-21		2							Oxford Nanopore GridION	SAMN23345445	96.97	0.37
GCF_027186305.1	ASM2718630v1	Xanthomonas citri pv. malvacearum		CFBP 2012					GCF_027186305.1-RS_2024_05_12	Complete Genome	2022-12-21		2							Oxford Nanopore GridION	SAMN23345445	96.97	0.37
GCA_016495605.1	ASM1649560v1	Xanthomonas citri		UnB-XtecTG02-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-05		1							Illumina HiSeq	SAMN14080128	99.47	0.51
GCF_016495605.1	ASM1649560v1	Xanthomonas citri		UnB-XtecTG02-2					GCF_016495605.1-RS_2024_05_06	Complete Genome	2021-01-05		1							Illumina HiSeq	SAMN14080128	99.47	0.51
GCA_015243835.1	ASM1524383v1	Xanthomonas citri		UnB-Xtec2D					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-05		1							Oxford Nanopore MiniION; Illumina HiSeq	SAMN12628543	99.47	0.51
GCF_015243835.1	ASM1524383v1	Xanthomonas citri		UnB-Xtec2D					GCF_015243835.1-RS_2024_05_06	Complete Genome	2020-11-05		1							Oxford Nanopore MiniION; Illumina HiSeq	SAMN12628543	99.47	0.51
GCA_018831365.1	ASM1883136v1	Xanthomonas citri		M11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-10		2							PacBio	SAMN08374168	99.63	0.25
GCF_018831365.1	ASM1883136v1	Xanthomonas citri		M11					GCF_018831365.1-RS_2024_05_06	Complete Genome	2021-06-10		2							PacBio	SAMN08374168	99.63	0.25
GCA_002288585.1	ASM228858v1	Xanthomonas citri pv. malvacearum		MS14003					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-09-08		4							PacBio	SAMN07447517	99.14	0.28
GCF_002288585.1	ASM228858v1	Xanthomonas citri pv. malvacearum		MS14003					GCF_002288585.1-RS_2024_05_05	Complete Genome	2017-09-08		4							PacBio	SAMN07447517	99.14	0.28
GCA_040202415.2	ASM4020241v2	Xanthomonas citri		WHRI 6104					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-09-10		4							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354557	97.97	0.12
GCF_040202415.2	ASM4020241v2	Xanthomonas citri		WHRI 6104					GCF_040202415.2-RS_2024_09_11	Complete Genome	2024-09-12		4							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354557	97.97	0.12
GCA_040285035.1	Xcm_TX4-attenuated_assembly	Xanthomonas citri pv. malvacearum		Xcm TX4-attenuated					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-06-24		4							PacBio Sequel	SAMN41592779	99.23	0.28
GCF_040285035.1	Xcm_TX4-attenuated_assembly	Xanthomonas citri pv. malvacearum		Xcm TX4-attenuated					GCF_040285035.1-RS_2024_06_25	Complete Genome	2024-06-25		4							PacBio Sequel	SAMN41592779	99.23	0.28
GCA_040285055.1	ASM4028505v1	Xanthomonas citri pv. malvacearum		Xcm TX4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-06-24		4							PacBio Sequel	SAMN41592776	99.23	0.28
GCF_040285055.1	ASM4028505v1	Xanthomonas citri pv. malvacearum		Xcm TX4					GCF_040285055.1-RS_2024_06_25	Complete Genome	2024-06-25		4							PacBio Sequel	SAMN41592776	99.23	0.28
GCA_040285045.1	ASM4028504v1	Xanthomonas citri pv. malvacearum		Xcm TX7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-06-24		4							PacBio Sequel	SAMN41592777	99.23	0.28
GCF_040285045.1	ASM4028504v1	Xanthomonas citri pv. malvacearum		Xcm TX7					GCF_040285045.1-RS_2024_06_25	Complete Genome	2024-06-25		4							PacBio Sequel	SAMN41592777	99.23	0.28
GCA_001719145.1	ASM171914v1	Xanthomonas citri pv. malvacearum		MSCT					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-06		4							Illumina MiSeq; PacBio; NanoPore	SAMN05595756	99.23	0.28
GCF_001719145.1	ASM171914v1	Xanthomonas citri pv. malvacearum		MSCT					GCF_001719145.1-RS_2024_05_05	Complete Genome	2016-09-06		4							Illumina MiSeq; PacBio; NanoPore	SAMN05595756	99.23	0.28
GCA_040284385.1	ASM4028438v1	Xanthomonas citri pv. malvacearum		Xcm TX9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-06-24		4							PacBio Sequel	SAMN41592778	98.98	0.28
GCF_040284385.1	ASM4028438v1	Xanthomonas citri pv. malvacearum		Xcm TX9					GCF_040284385.1-RS_2024_06_25	Complete Genome	2024-06-25		4							PacBio Sequel	SAMN41592778	98.98	0.28
GCA_020525465.1	ASM2052546v1	Xanthomonas citri pv. mangiferaeindicae		GZ09					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-19		1							Nanopore	SAMN21592034	97.86	0.01
GCF_020525465.1	ASM2052546v1	Xanthomonas citri pv. mangiferaeindicae		GZ09					GCF_020525465.1-RS_2024_05_12	Complete Genome	2021-10-19		1							Nanopore	SAMN21592034	97.86	0.01
GCA_020544545.1	ASM2054454v1	Xanthomonas citri pv. mangiferaeindicae		GXG07					Annotation submitted by Guangxi Universtiy	Complete Genome	2021-10-25		3							PacBio Sequel	SAMN18712706	97.86	
GCF_020544545.1	ASM2054454v1	Xanthomonas citri pv. mangiferaeindicae		GXG07					GCF_020544545.1-RS_2024_05_12	Complete Genome	2021-10-25		3							PacBio Sequel	SAMN18712706	97.86	
GCA_004000475.1	ASM400047v1	Xanthomonas citri pv. fuscans		ISO118C5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-08		2							Illumina; PacBio	SAMN03842218	97.73	0.31
GCF_004000475.1	ASM400047v1	Xanthomonas citri pv. fuscans		ISO118C5					GCF_004000475.1-RS_2024_05_06	Complete Genome	2019-01-08		2							Illumina; PacBio	SAMN03842218	97.73	0.31
GCA_003999485.1	ASM399948v1	Xanthomonas citri pv. fuscans		ISO118C1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-08		2							Illumina; PacBio	SAMN03842217	97.73	0.31
GCF_003999485.1	ASM399948v1	Xanthomonas citri pv. fuscans		ISO118C1					GCF_003999485.1-RS_2024_05_06	Complete Genome	2019-01-08		2							Illumina; PacBio	SAMN03842217	97.73	0.31
GCA_003999505.1	ASM399950v1	Xanthomonas citri pv. fuscans		ISO12C3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-08		2							Illumina; PacBio	SAMN03842216	97.73	0.31
GCF_003999505.1	ASM399950v1	Xanthomonas citri pv. fuscans		ISO12C3					GCF_003999505.1-RS_2024_05_06	Complete Genome	2019-01-08		2							Illumina; PacBio	SAMN03842216	97.73	0.31
GCA_018831385.1	ASM1883138v1	Xanthomonas citri pv. fuscans		PR8F					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-10		3							PacBio	SAMN08374172	97.91	0.31
GCF_018831385.1	ASM1883138v1	Xanthomonas citri pv. fuscans		PR8F					GCF_018831385.1-RS_2024_05_06	Complete Genome	2021-06-10		3							PacBio	SAMN08374172	97.91	0.31
GCA_018831325.1	ASM1883132v1	Xanthomonas citri pv. fuscans		FH61					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-10		3							PacBio	SAMN08374170	97.85	0.25
GCF_018831325.1	ASM1883132v1	Xanthomonas citri pv. fuscans		FH61					GCF_018831325.1-RS_2024_05_12	Complete Genome	2021-06-10		3							PacBio	SAMN08374170	97.85	0.25
GCA_025987665.1	ASM2598766v1	Xanthomonas citri pv. fuscans		BRM48906					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-03		3							PacBio Sequel	SAMN31508452	99.08	0.57
GCF_025987665.1	ASM2598766v1	Xanthomonas citri pv. fuscans		BRM48906					GCF_025987665.1-RS_2024_05_12	Complete Genome	2022-11-03		3							PacBio Sequel	SAMN31508452	99.08	0.57
GCA_006228425.1	ASM622842v1	Xanthomonas citri pv. punicae		LMG7439					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-06-11		2							Nanopore; Illumina MiSeq	SAMN04145206	98.59	0.37
GCF_006228425.1	ASM622842v1	Xanthomonas citri pv. punicae		LMG7439					GCF_006228425.1-RS_2024_05_06	Complete Genome	2019-06-11		2							Nanopore; Illumina MiSeq	SAMN04145206	98.59	0.37
GCA_025987645.1	ASM2598764v1	Xanthomonas citri pv. fuscans		LNPV 30.30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-03		2							PacBio Sequel	SAMN31508453	99.58	0.25
GCF_025987645.1	ASM2598764v1	Xanthomonas citri pv. fuscans		LNPV 30.30					GCF_025987645.1-RS_2024_05_12	Complete Genome	2022-11-03		2							PacBio Sequel	SAMN31508453	99.58	0.25
GCA_025987705.1	ASM2598770v1	Xanthomonas citri pv. fuscans		CFBP 6533					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-03		2							PacBio Sequel	SAMN31508451	99.12	0.25
GCF_025987705.1	ASM2598770v1	Xanthomonas citri pv. fuscans		CFBP 6533					GCF_025987705.1-RS_2024_05_06	Complete Genome	2022-11-03		2							PacBio Sequel	SAMN31508451	99.12	0.25
GCA_040202995.2	NCPPB381v2_ONT	Xanthomonas citri pv. fuscans		WHRI 10261					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-30		2							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354536	97.94	1.5
